Date,F1,F2,F3,F4,F5,F6,Label
1981-01-07,20.7,17.9,18.8,14.6,15.8,15.8,15.8
1981-01-08,17.9,18.8,14.6,15.8,15.8,15.8,17.4
1981-01-09,18.8,14.6,15.8,15.8,15.8,17.4,21.8
1981-01-10,14.6,15.8,15.8,15.8,17.4,21.8,20.0
1981-01-11,15.8,15.8,15.8,17.4,21.8,20.0,16.2
1981-01-12,15.8,15.8,17.4,21.8,20.0,16.2,13.3
1981-01-13,15.8,17.4,21.8,20.0,16.2,13.3,16.7
1981-01-14,17.4,21.8,20.0,16.2,13.3,16.7,21.5
1981-01-15,21.8,20.0,16.2,13.3,16.7,21.5,25.0
1981-01-16,20.0,16.2,13.3,16.7,21.5,25.0,20.7
1981-01-17,16.2,13.3,16.7,21.5,25.0,20.7,20.6
1981-01-18,13.3,16.7,21.5,25.0,20.7,20.6,24.8
1981-01-19,16.7,21.5,25.0,20.7,20.6,24.8,17.7
1981-01-20,21.5,25.0,20.7,20.6,24.8,17.7,15.5
1981-01-21,25.0,20.7,20.6,24.8,17.7,15.5,18.2
1981-01-22,20.7,20.6,24.8,17.7,15.5,18.2,12.1
1981-01-23,20.6,24.8,17.7,15.5,18.2,12.1,14.4
1981-01-24,24.8,17.7,15.5,18.2,12.1,14.4,16.0
1981-01-25,17.7,15.5,18.2,12.1,14.4,16.0,16.5
1981-01-26,15.5,18.2,12.1,14.4,16.0,16.5,18.7
1981-01-27,18.2,12.1,14.4,16.0,16.5,18.7,19.4
1981-01-28,12.1,14.4,16.0,16.5,18.7,19.4,17.2
1981-01-29,14.4,16.0,16.5,18.7,19.4,17.2,15.5
1981-01-30,16.0,16.5,18.7,19.4,17.2,15.5,15.1
1981-01-31,16.5,18.7,19.4,17.2,15.5,15.1,15.4
1981-02-01,18.7,19.4,17.2,15.5,15.1,15.4,15.3
1981-02-02,19.4,17.2,15.5,15.1,15.4,15.3,18.8
1981-02-03,17.2,15.5,15.1,15.4,15.3,18.8,21.9
1981-02-04,15.5,15.1,15.4,15.3,18.8,21.9,19.9
1981-02-05,15.1,15.4,15.3,18.8,21.9,19.9,16.6
1981-02-06,15.4,15.3,18.8,21.9,19.9,16.6,16.8
1981-02-07,15.3,18.8,21.9,19.9,16.6,16.8,14.6
1981-02-08,18.8,21.9,19.9,16.6,16.8,14.6,17.1
1981-02-09,21.9,19.9,16.6,16.8,14.6,17.1,25.0
1981-02-10,19.9,16.6,16.8,14.6,17.1,25.0,15.0
1981-02-11,16.6,16.8,14.6,17.1,25.0,15.0,13.7
1981-02-12,16.8,14.6,17.1,25.0,15.0,13.7,13.9
1981-02-13,14.6,17.1,25.0,15.0,13.7,13.9,18.3
1981-02-14,17.1,25.0,15.0,13.7,13.9,18.3,22.0
1981-02-15,25.0,15.0,13.7,13.9,18.3,22.0,22.1
1981-02-16,15.0,13.7,13.9,18.3,22.0,22.1,21.2
1981-02-17,13.7,13.9,18.3,22.0,22.1,21.2,18.4
1981-02-18,13.9,18.3,22.0,22.1,21.2,18.4,16.6
1981-02-19,18.3,22.0,22.1,21.2,18.4,16.6,16.1
1981-02-20,22.0,22.1,21.2,18.4,16.6,16.1,15.7
1981-02-21,22.1,21.2,18.4,16.6,16.1,15.7,16.6
1981-02-22,21.2,18.4,16.6,16.1,15.7,16.6,16.5
1981-02-23,18.4,16.6,16.1,15.7,16.6,16.5,14.4
1981-02-24,16.6,16.1,15.7,16.6,16.5,14.4,14.4
1981-02-25,16.1,15.7,16.6,16.5,14.4,14.4,18.5
1981-02-26,15.7,16.6,16.5,14.4,14.4,18.5,16.9
1981-02-27,16.6,16.5,14.4,14.4,18.5,16.9,17.5
1981-02-28,16.5,14.4,14.4,18.5,16.9,17.5,21.2
1981-03-01,14.4,14.4,18.5,16.9,17.5,21.2,17.8
1981-03-02,14.4,18.5,16.9,17.5,21.2,17.8,18.6
1981-03-03,18.5,16.9,17.5,21.2,17.8,18.6,17.0
1981-03-04,16.9,17.5,21.2,17.8,18.6,17.0,16.0
1981-03-05,17.5,21.2,17.8,18.6,17.0,16.0,13.3
1981-03-06,21.2,17.8,18.6,17.0,16.0,13.3,14.3
1981-03-07,17.8,18.6,17.0,16.0,13.3,14.3,11.4
1981-03-08,18.6,17.0,16.0,13.3,14.3,11.4,16.3
